Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
P.J. Washington,PF,21,CHO,58,57,30.3,4.6,10.2,1.5,4.0,3.1,6.2,1.5,2.3,1.0,4.4,5.4,2.1,0.9,0.8,1.6,2.7,12.2
Yuta Watanabe,SF,25,MEM,18,0,5.8,0.8,1.9,0.2,0.4,0.7,1.4,0.2,0.4,0.4,0.7,1.1,0.3,0.3,0.1,0.1,0.5,2.0
Tremont Waters,PG,22,BOS,11,1,10.8,1.3,4.5,0.4,2.2,0.9,2.3,0.7,0.7,0.0,1.1,1.1,1.5,0.9,0.2,1.4,1.2,3.6
Paul Watson,SF,25,TOT,10,0,8.7,1.0,2.6,0.4,1.2,0.6,1.4,0.7,0.9,0.2,1.5,1.7,0.8,0.4,0.1,0.3,0.5,3.1
Paul Watson,SF,25,ATL,2,0,8.5,0.0,3.5,0.0,1.5,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.5,0.5,0.0,0.0,0.5,0.0
Paul Watson,SF,25,TOR,8,0,8.8,1.3,2.4,0.5,1.1,0.8,1.3,0.9,1.1,0.3,1.6,1.9,0.6,0.4,0.1,0.4,0.5,3.9
Quinndary Weatherspoon,SG,23,SAS,11,0,7.1,0.5,1.5,0.1,0.5,0.4,1.1,0.1,0.2,0.1,0.5,0.6,1.0,0.3,0.1,0.5,0.7,1.1
Russell Westbrook,PG,31,HOU,57,57,35.9,10.6,22.5,1.0,3.7,9.6,18.7,5.1,6.7,1.8,6.2,7.9,7.0,1.6,0.4,4.5,3.5,27.2
Coby White,PG,19,CHI,65,1,25.8,4.8,12.2,2.0,5.8,2.8,6.4,1.6,2.0,0.4,3.1,3.5,2.7,0.8,0.1,1.7,1.8,13.2
Derrick White,SG,25,SAS,68,20,24.7,3.7,8.1,1.2,3.2,2.6,4.9,2.6,3.1,0.5,2.8,3.3,3.5,0.6,0.9,1.3,2.2,11.3
Hassan Whiteside,C,30,POR,67,61,30.0,6.5,10.5,0.1,0.1,6.4,10.4,2.4,3.6,3.9,9.7,13.5,1.2,0.4,2.9,1.8,2.9,15.5
Andrew Wiggins,SF,24,TOT,54,54,34.4,8.1,18.1,2.1,6.2,6.0,11.9,3.5,5.0,1.2,3.9,5.1,3.7,0.8,1.0,2.4,2.4,21.8
Andrew Wiggins,SF,24,MIN,42,42,34.6,8.4,18.8,2.2,6.5,6.2,12.3,3.5,4.9,1.1,4.1,5.2,3.7,0.7,0.9,2.5,2.4,22.4
Andrew Wiggins,SF,24,GSW,12,12,33.6,7.2,15.7,1.7,4.9,5.5,10.8,3.4,5.1,1.5,3.1,4.6,3.6,1.3,1.4,2.1,2.2,19.4
Grant Williams,PF,21,BOS,69,5,15.1,1.3,3.1,0.3,1.4,0.9,1.7,0.6,0.8,0.9,1.7,2.6,1.0,0.4,0.5,0.7,2.4,3.4
Johnathan Williams,PF,24,WAS,15,6,12.0,1.3,2.3,0.0,0.1,1.3,2.1,0.5,0.9,1.6,2.7,4.3,0.5,0.1,0.5,0.3,1.1,3.0
Kenrich Williams,PF,25,NOP,39,18,21.3,1.3,3.8,0.6,2.5,0.7,1.3,0.2,0.7,1.3,3.5,4.8,1.5,0.7,0.5,0.6,2.3,3.5
Lou Williams,PG,33,LAC,65,8,28.7,6.0,14.4,1.7,4.8,4.3,9.6,4.5,5.2,0.5,2.6,3.1,5.6,0.7,0.2,2.8,1.2,18.2
Marvin Williams,PF,33,TOT,58,1,19.5,2.1,4.6,1.0,2.7,1.1,1.9,0.8,1.0,0.5,2.6,3.2,1.0,0.6,0.5,0.6,1.8,5.9
Marvin Williams,PF,33,CHO,41,1,19.7,2.3,5.1,1.1,2.9,1.2,2.3,1.0,1.2,0.4,2.3,2.7,1.0,0.6,0.5,0.6,1.7,6.7
Marvin Williams,PF,33,MIL,17,0,18.9,1.5,3.4,0.7,2.3,0.8,1.1,0.4,0.4,0.9,3.5,4.4,1.1,0.6,0.5,0.5,1.9,4.0
Robert Williams,C,22,BOS,29,1,13.4,2.2,3.0,0.0,0.0,2.2,3.0,0.8,1.2,1.4,3.0,4.4,0.9,0.8,1.2,0.7,1.8,5.2
Nigel Williams-Goss,PG,25,UTA,10,0,5.0,0.5,1.6,0.2,0.7,0.3,0.9,0.2,0.2,0.2,0.4,0.6,0.6,0.3,0.1,0.3,0.6,1.4
Zion Williamson,PF,19,NOP,24,24,27.8,8.8,15.0,0.3,0.6,8.5,14.4,4.8,7.4,2.7,3.6,6.3,2.1,0.7,0.4,2.5,1.8,22.5
D.J. Wilson,PF,23,MIL,37,1,9.8,1.4,3.6,0.5,2.0,0.9,1.6,0.3,0.5,0.3,2.2,2.5,0.7,0.1,0.1,0.5,0.9,3.6
Justise Winslow,SG,23,MIA,11,5,32.0,4.5,11.7,0.5,2.5,4.0,9.3,1.6,2.5,1.5,5.2,6.6,4.0,0.6,0.5,2.2,3.5,11.3
Christian Wood,PF,24,DET,62,12,21.4,4.6,8.2,0.9,2.3,3.8,5.9,2.9,3.9,1.7,4.6,6.3,1.0,0.5,0.9,1.4,1.6,13.1
Delon Wright,PG,27,DAL,73,5,21.5,2.6,5.6,0.6,1.7,2.0,3.9,1.1,1.4,1.0,2.9,3.8,3.3,1.2,0.3,1.0,1.3,6.9
Justin Wright-Foreman,PG,22,UTA,4,0,11.3,1.8,5.0,0.5,2.5,1.3,2.5,0.8,1.0,0.0,1.3,1.3,1.8,0.5,0.0,0.8,1.3,4.8
Thaddeus Young,PF,31,CHI,64,16,24.9,4.2,9.4,1.2,3.5,3.0,5.9,0.7,1.1,1.5,3.5,4.9,1.8,1.4,0.4,1.6,2.1,10.3
Trae Young,PG,21,ATL,60,60,35.3,9.1,20.8,3.4,9.5,5.7,11.4,8.0,9.3,0.5,3.7,4.3,9.3,1.1,0.1,4.8,1.7,29.6
Cody Zeller,C,27,CHO,58,39,23.1,4.3,8.3,0.3,1.3,4.0,7.0,2.1,3.1,2.8,4.3,7.1,1.5,0.7,0.4,1.3,2.4,11.1
Tyler Zeller,C,30,SAS,2,0,2.0,0.5,2.0,0.0,0.0,0.5,2.0,0.0,0.0,1.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Ante Žižić,C,23,CLE,22,0,10.0,1.9,3.3,0.0,0.0,1.9,3.3,0.6,0.9,0.8,2.2,3.0,0.3,0.3,0.2,0.5,1.2,4.4
Ivica Zubac,C,22,LAC,72,70,18.4,3.3,5.3,0.0,0.0,3.3,5.3,1.7,2.3,2.7,4.8,7.5,1.1,0.2,0.9,0.8,2.3,8.3
